ID,Ang_Vel_X,Ang_Vel_Y,Ang_Vel_Z,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
4.22,0.00106869,-0.00157963,-0.000862496,0.00530449,0.00717482,9.80501
5.1,-0.00707341,0.00024866,0.0100774,1.54375,-0.000879298,9.79836
5.11,0.00274369,-0.00183565,0.00269281,4.48568,-0.00511713,9.80182
5.12,-0.00209145,-0.000860965,-0.00964094,4.72514,0.00602626,9.8028
5.13,-0.00299217,0.00368047,0.00239449,4.96539,0.00107316,9.79467
5.14,-0.00680732,0.00535767,0.00607241,5.17452,0.00130875,9.8013
5.15,-0.00140684,0.00498284,-0.00199012,4.12386,0.00455563,9.79474
5.16,0.00137458,-0.00828359,-0.00684936,-0.0124595,0.00247874,9.80307
5.17,0.004077,0.00237051,-0.0017177,0.0146175,-0.00480458,9.79339
5.18,-0.00402022,0.0036687,0.00604421,0.0082737,0.00353579,9.80125
5.19,0.00153734,0.000284625,-0.000179293,0.000659495,-0.008363,9.815
5.2,-0.00143857,0.00918321,-0.0105456,-0.00208345,-0.00261471,9.79317
6.1,0.00425057,0.00502014,-0.000694655,0.00215086,-0.00545364,9.80098
6.11,-0.00433398,0.00610602,0.00732814,0.0024478,-0.00414842,9.80202
6.12,0.00642803,-0.00239944,0.00335675,-1.39657,-0.011403,9.79929
6.13,0.000633315,-0.000367461,-0.00417903,-1.55533,0.0116895,9.80291
6.14,-0.00831143,-0.000718407,0.00287864,-1.5545,0.00157355,9.80375
6.15,-0.00103113,0.000829015,0.00124841,-1.5404,-0.00443684,9.79831
6.16,-0.00316294,0.0015273,0.00638517,-1.5548,-0.0037753,9.80189
6.17,-0.0182273,-0.00286325,-0.00558767,-1.54995,0.00108272,9.80393
6.18,-0.00533233,-0.00601563,-0.00091535,-1.54885,0.00810251,9.78883
6.19,0.0045493,0.0103056,0.0027795,-1.55364,-0.00482629,9.80408
6.2,-0.00334352,0.0054938,0.00219397,-1.55183,0.00660684,9.8019
6.21,-0.0092019,-0.00643938,-0.00370788,-1.55652,0.00438771,9.79506
6.22,0.00398612,0.00393535,0.00260323,-1.55608,0.00220633,9.79672
6.23,-0.00307793,-0.00377188,-0.000501457,-1.54954,0.0010758,9.80554
7.1,-0.007268,0.0062697,0.000187354,-1.56178,-0.00149245,9.79833
7.11,-0.000403639,0.00130859,0.00830204,-1.54882,-0.00303644,9.79987
7.12,-0.00177992,0.00692916,0.0034138,-1.23666,0.00442264,9.70785
7.13,-0.000504495,0.00750498,-0.00269188,3.69016,-0.0160959,9.89724
7.14,-0.0037224,0.00145531,-0.00597639,3.12231,0.00287822,9.80879
7.15,-0.0100166,0.00961654,0.00135592,2.33766,-0.0401431,9.80487
7.16,-0.00504159,0.0105855,-0.0513686,1.64566,0.0080372,9.8078
7.17,0.00183556,-0.000538544,-0.0760282,1.39433,-0.044519,9.8009
7.18,-0.0124951,0.000454391,-0.0502375,1.1074,-0.0447882,9.79792
7.19,-0.00851937,0.00877806,0.00412678,0.783747,0.0815237,9.82197
7.2,0.0094483,-0.00174624,0.0152289,0.785168,-0.0121312,9.77852
8.1,-0.00709674,-0.00169035,0.0107809,1.12595,0.0430374,9.80093
8.11,0.00153014,0.00193946,-1.11788e-06,1.46512,-0.0288216,9.80273
8.12,-0.00120227,0.0131757,-0.0024362,1.7988,-0.00302692,9.80255
8.13,-0.00594277,0.00422838,-0.00761534,2.13955,0.00701159,9.79562
8.14,-0.00119393,-0.00273598,0.00584911,1.34977,-0.00683265,9.8137
8.15,-0.00785799,0.00774703,-0.00628645,4.96133e-05,0.0115497,9.79178
8.16,-0.00220295,0.00289938,0.00630425,-0.00604944,0.000594301,9.80427
8.17,-0.00837958,0.00130257,0.000235686,0.0022777,-0.0040272,9.80296
8.18,-0.00664862,-0.00421619,0.00287216,0.00618115,0.00847475,9.79942
8.19,-0.00458121,0.0107079,-0.00054533,0.00278253,0.000883461,9.80137
8.2,0.00244698,-0.00500095,0.000934159,-0.00251064,-0.00740619,9.80152
8.21,0.00989163,0.00451161,-0.00309843,-0.00677037,0.00332163,9.81092
8.22,0.0021714,0.000243722,-0.000528522,-0.0117034,0.00564031,9.80531
9.1,-0.00522152,0.00863058,0.00790876,0.000131519,0.00127526,9.78954
9.11,-0.00247991,0.00808968,0.00255987,0.00615951,-0.00980037,9.80039
9.12,-0.00233989,-0.0074647,0.00374189,0.00574012,-0.00131115,9.79432
9.13,-0.00536819,-0.00100663,0.00336797,0.000429188,-0.00961187,9.80298
9.14,0.00519276,-0.000568757,0.00142059,0.00309713,-0.00481887,9.80084
9.15,-0.00957578,0.00297487,-7.02043e-05,-0.00264133,-0.000622673,9.79508
9.16,0.00157167,0.0042789,0.00306592,0.00879318,-0.00120459,9.78836
9.17,0.00512984,-0.00137117,0.00792638,-0.00419986,-0.00487088,9.8018
9.18,-0.00318211,-0.00729598,0.00580495,-0.00574749,-0.00135795,9.81416
9.19,0.00252803,0.00475915,-0.00212518,-0.00219798,0.00355497,9.80214
9.2,-0.0092067,-0.00892716,-0.0068851,0.0012298,-0.00178169,9.79998
9.21,-0.00602987,0.00448072,-0.00112929,0.00680828,-0.00614069,9.79605
10.1,-0.00550783,0.0113665,0.00366315,0.0165195,-0.00336424,9.80294
10.11,-0.00889857,0.00259054,-7.9766e-05,-0.0136153,0.000450366,9.79325
10.12,0.0102797,-0.000560564,0.00508143,-0.0125426,-0.00681316,9.79821
10.13,-0.00515592,-0.00201926,0.00121175,-0.0174258,0.00223898,9.80222
10.14,-0.00155291,-0.00574365,-0.00138665,-0.0216846,0.00393254,9.80394
10.15,-0.0074465,0.006912,0.00137551,0.00176436,0.00846344,9.80094
10.16,-0.00339686,-0.00512491,-0.000849664,0.00123794,-0.00219221,9.80983
10.17,0.00716179,0.00628916,0.00363254,-0.00335677,-0.00409834,9.80863
10.18,-0.00774934,0.00115845,-0.00377163,-0.000906761,0.00103262,9.79665
10.19,-0.00965653,-0.00737785,0.00520393,0.00388514,-0.00462716,9.80613
10.2,-0.0062349,0.0134365,-0.00245128,-0.00286364,-0.00612294,9.80059
10.21,-0.00881333,-0.000994483,0.00881591,0.00920028,-0.000480821,9.79572
10.22,0.00594918,-2.25195e-05,0.00296489,0.00569574,-0.00577175,9.80046
11.1,0.00154246,0.0054565,0.00187129,0.00436654,-0.000480084,9.79691
11.11,-0.00318067,0.00793857,-0.00195633,0.00640044,0.00288803,9.80883
11.12,-0.0012014,0.00818361,0.00388877,0.00262368,-0.0120212,9.80006
11.13,0.0014319,0.00306812,-0.000416243,0.000555402,0.00726264,9.8044
11.14,-0.00179894,0.00355439,0.00427718,0.00330265,0.00759562,9.81123
11.15,-0.00170459,0.00998532,-0.0021093,-0.00758345,0.0110589,9.79738
11.16,0.00251038,-0.00319183,-0.000788078,-0.00896385,-0.000355658,9.80035
11.17,-0.00242465,0.00208542,-0.0153111,0.197667,0.0447972,9.8011
11.18,0.00150984,-0.00283041,-0.140569,0.914094,0.0539994,9.8046
11.19,0.00386394,-0.000247422,-0.313257,1.13564,-0.0179071,9.80902
11.2,-0.00224835,0.000189766,-0.48038,1.30192,-0.0799776,9.79969
11.21,-0.00768761,0.0013665,-0.648772,1.38094,-0.104239,9.80115
12.1,-0.00207279,-0.00192665,-0.788109,0.617797,0.128661,9.80705
12.11,-0.00253538,0.00558699,-0.830784,-0.255447,0.364727,9.80183
12.12,0.00194017,0.0103885,-0.865864,-0.340188,0.355595,9.79864
12.13,0.00735813,0.00751377,-0.90908,-0.432135,0.343901,9.81056
12.14,-0.000450157,-0.00427335,-0.959355,-0.601965,0.330795,9.80606
12.15,-0.00524315,0.0082255,-1.02016,-0.977573,0.254201,9.78762
12.16,-0.00304598,-0.000184345,-1.0615,-0.748435,0.231941,9.80711
